country,category,source,total,n_cities,top1_city,top1_share_pct
FR,farmacia,annuaire-sante-ans,2357,238,Paris,15.7
FR,fiscal,sirene-insee,9998,207,Paris,21.3
FR,fiscal,oec-fr,3676,9,Paris,25.6
FR,fisioterapia,rpps-fr,21080,291,Paris,14.1
FR,fisioterapia,annuaire-sante-ans,7437,281,Paris,12.7
FR,fontaneria,sirene-insee,10000,136,Paris,37.6
FR,fontaneria,ademe-rge,109,52,Paris,15.6
FR,hvac,ademe-rge,1241,182,Paris,12.2
FR,ingenieria,sirene-insee,10000,209,Paris,30.2
FR,itv,prix-controle-technique,3436,274,Paris,10.9
FR,mecanica,auto-ecoles-fr,4816,291,Paris,18.3
FR,mecanica,ccaa_registry,1,1,Pau,100.0
FR,medicina,rpps-fr,66122,292,Paris,25.3
FR,medicina,annuaire-sante-ans,32688,289,Paris,26.1
FR,medicina,annuaire-sante-ameli,29304,84,Marseille,20.1
FR,medicina,cnop-pharmaciens,9984,202,Paris,12.0
FR,medicina,finess,4980,143,Marseille,9.1
FR,medicina,ca-dca-open-data,101,5,Saint-Louis (Réunion),95.0
FR,psicologia,annuaire-sante-ans,10197,282,Paris,23.2
FR,veterinario,ordre-vet-fr,2022,67,Marseille,20.3
MX,arquitecto,denue-mx,2787,225,Ciudad de México,10.6
MX,arquitecto,re-franchises-mx,677,56,Mérida,12.9
MX,arquitecto,fcarm-arquitectos,156,2,Hermosillo,75.6
MX,arquitecto,siem,61,17,Reynosa,13.1
MX,arquitecto,cmic-constructoras,41,9,León,31.7
MX,carpinteria,denue-mx,166,84,Mexicali,5.4
MX,carpinteria,profeco-sancionados,140,21,Ciudad de México,15.7
MX,carpinteria,siem,31,14,Mazatlán,19.4
MX,cerrajero,siem,6,5,Mazatlán,33.3
MX,cerrajero,profeco-sancionados,2,2,Ciudad de México,50.0
MX,dentista,denue-mx,4198,7,Tijuana,35.1
MX,dentista,siem,206,26,Tlalnepantla de Baz,15.5
MX,electricidad,denue-mx,1620,186,Monterrey,5.4
MX,electricidad,profeco-sancionados,145,17,Ciudad de México,13.8
MX,electricidad,siem,50,21,Ciudad de México,16.0
MX,electricidad,cmic-constructoras,3,1,León,100.0
MX,extranjeria,denue-mx,20571,280,Ciudad de México,9.0
MX,extranjeria,siem,59,18,Cancún,28.8
MX,fiscal,sat-efos-edos,14055,1,Ciudad de México,100.0
MX,fiscal,denue-mx,11762,275,Ciudad de México,9.0
MX,fiscal,cnsf-agentes,10000,1,Ciudad de México,100.0
MX,fiscal,condusef-sipres,5407,23,Ciudad de México,46.6
MX,fiscal,profeco-sancionados,1667,23,Ciudad de México,24.4
MX,fiscal,cnbv-entidades,550,1,Ciudad de México,100.0
MX,fiscal,siem,160,21,Cancún,23.1
MX,fiscal,antad-asociados,2,1,Ciudad de México,100.0
MX,fisioterapia,denue-mx,354,7,Tijuana,28.8
MX,fisioterapia,siem,49,10,Irapuato,40.8
MX,fontaneria,cre-permisionarios,3305,1,Ciudad de México,100.0
MX,fontaneria,denue-mx,1096,163,Benito Juárez,5.7
MX,fontaneria,siem,51,16,Mérida,25.5
MX,fontaneria,cmic-constructoras,3,2,León,66.7
MX,fontaneria,profeco-sancionados,2,2,Hermosillo,50.0
MX,hvac,cre-permisionarios,335,1,Ciudad de México,100.0
MX,hvac,siem,63,22,Reynosa,20.6
MX,hvac,profeco-sancionados,5,5,Tijuana,20.0
MX,ingenieria,siem,2054,71,Puebla,22.7
MX,ingenieria,reniecyt-mx,626,23,Ciudad de México,21.2
MX,itv,siem,10,5,Irapuato,40.0
MX,mecanica,profeco-sancionados,328,23,Ciudad de México,18.9
MX,mecanica,siem,233,31,Puebla,19.3
MX,mecanica,amda-distribuidores,48,21,Ciudad de México,50.0
MX,mecanica,ccaa_registry,17,2,Salvatierra,52.9
