country,city_slug,category_key,n
CA,bethlehem,ingenieria,2
CA,bethune,electricidad,3
CA,bethune,hvac,2
CA,bettendorf,ingenieria,1
CA,biberach,ingenieria,1
CA,biberstein,ingenieria,1
CA,bible-hill,medicina,1
CA,bicton,ingenieria,1
CA,bielsko-biala,ingenieria,2
CA,bienfait,electricidad,2
CA,big-bend,ingenieria,1
CA,big-lake-ranch,ingenieria,1
CA,big-river,hvac,9
CA,big-river,electricidad,6
CA,biggar,hvac,10
CA,biggar,electricidad,7
CA,biggar,ingenieria,1
CA,billings,ingenieria,1
CA,billtown,medicina,1
CA,binbrook,ingenieria,2
CA,binh-thanh-district-hochiminh-city,ingenieria,1
CA,binscarth,hvac,2
CA,birch-grove,ingenieria,1
CA,birch-hills,electricidad,11
CA,birch-hills,hvac,2
CA,birch-hills,ingenieria,1
CA,birchy-head,ingenieria,1
CA,birmingham,ingenieria,1
CA,birsay,electricidad,2
CA,bittern-lake,ingenieria,1
CA,bixby,ingenieria,1
CA,bjorkdale,electricidad,2
CA,black-creek,ingenieria,4
CA,black-diamond,ingenieria,5
CA,black-lake,electricidad,2
CA,blackburn,ingenieria,1
CA,blackfalds,ingenieria,24
CA,blackfoot,ingenieria,4
CA,blackfoot,hvac,2
CA,blackie,ingenieria,5
CA,blacksburg,ingenieria,1
CA,blacksoil,ingenieria,1
CA,blackstock,ingenieria,1
CA,blackwood,ingenieria,1
CA,blaine,ingenieria,1
CA,blaine-lake,electricidad,2
CA,blainville,ingenieria,4
CA,blainville,arquitecto,3
CA,blairmore,ingenieria,14
CA,blandon,ingenieria,1
CA,blind-bay,ingenieria,4
CA,blockhouse,medicina,1
CA,bloomington,ingenieria,4
CA,blue-bell,ingenieria,1
CA,blue-hill,ingenieria,1
CA,blue-ridge,ingenieria,2
CA,blue-springs,ingenieria,1
CA,bluffdale-ut,ingenieria,1
CA,bluffton,ingenieria,3
CA,bluffy,ingenieria,1
CA,blumenort,ingenieria,1
CA,boca-raton,ingenieria,2
CA,bochum,ingenieria,1
CA,bodo,ingenieria,1
CA,bogota,ingenieria,3
CA,bogota-d-c,ingenieria,1
CA,bogota-dc,ingenieria,1
CA,boisbriand,ingenieria,3
CA,boise,ingenieria,4
CA,boissevain,ingenieria,3
CA,boissevain,electricidad,2
CA,bolingbrook,ingenieria,1
CA,bolton,ingenieria,7
CA,bolton-est,ingenieria,1
CA,bon-accord,ingenieria,1
CA,bonaventure,ingenieria,1
CA,bonavista,medicina,1
CA,bonnington,ingenieria,1
CA,bonnyville,ingenieria,34
CA,bonnyville,electricidad,2
CA,borden,electricidad,5
CA,borex,ingenieria,1
CA,boston,ingenieria,2
CA,boswell,ingenieria,1
CA,bothell,ingenieria,1
CA,boucherville,hvac,10
CA,boucherville,ingenieria,9
CA,boulder,ingenieria,4
CA,bound-brook,ingenieria,1
CA,bountiful,ingenieria,1
CA,bountiful,medicina,1
CA,bourbonnais,ingenieria,1
